sensor_frame_index,sensor_timestamp,actual_exposure_us,requested_exposure_us,analogue_gain,stream,output_frame_index,pts_ms,elapsed_ms,frame_unix_ms,recording_start_iso8601,frame_time_iso8601,mean_luma
138,14910994167000,9992.0,10000,1.00,A,55,2236.831,2236.831,1789131958527.457,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:58.527457+04:00,85.4
139,14911008061000,9992.0,10000,1.00,A,56,2250.725,2250.725,1789131958541.351,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:58.541351+04:00,85.4
140,14911021955000,994.0,1000,1.00,B,54,2264.619,2264.619,1789131958555.245,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:58.555245+04:00,16.0
141,14911035848000,994.0,1000,1.00,B,55,2278.512,2278.512,1789131958569.138,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:58.569138+04:00,16.0
142,14911049741000,994.0,1000,1.00,B,56,2292.405,2292.405,1789131958583.031,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:58.583031+04:00,16.0
143,14911063637000,9992.0,10000,1.00,A,57,2306.301,2306.301,1789131958596.927,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:58.596927+04:00,85.2
144,14911077528000,9992.0,10000,1.00,A,58,2320.192,2320.192,1789131958610.818,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:58.610818+04:00,85.2
145,14911091421000,9992.0,10000,1.00,A,59,2334.085,2334.085,1789131958624.711,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:58.624711+04:00,85.2
146,14911105317000,994.0,1000,1.00,B,57,2347.981,2347.981,1789131958638.607,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:58.638607+04:00,16.0
147,14911119208000,994.0,1000,1.00,B,58,2361.872,2361.872,1789131958652.498,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:58.652498+04:00,15.9
148,14911133101000,994.0,1000,1.00,B,59,2375.765,2375.765,1789131958666.391,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:58.666391+04:00,15.9
149,14911146995000,9992.0,10000,1.00,A,60,2389.659,2389.659,1789131958680.285,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:58.680285+04:00,85.0
150,14911160888000,9992.0,10000,1.00,A,61,2403.552,2403.552,1789131958694.178,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:58.694178+04:00,85.0
151,14911174782000,9992.0,10000,1.00,A,62,2417.446,2417.446,1789131958708.072,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:58.708072+04:00,85.0
152,14911188676000,994.0,1000,1.00,B,60,2431.340,2431.340,1789131958721.966,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:58.721966+04:00,15.9
